0,0,0,0,0,5.6,-10,29,3.1,0.4
0,0,0,0,0,5,-9.4,31,3.1,0.4
0,0,0,0,0,10,-10,21,6.7,0.5
0,0,0,0,0,5,-9.4,31,4.6,0.5
0,0,0,0,0,10.6,-7.8,25,6.2,0.5
0,0,0,0,0,11.1,-7.2,25,6.7,0.5
0,0,0,0,0,9.4,-7.2,28,5.2,0.5
0,0,0,0,0,9.4,-7.2,28,3.6,0.5
0,0,0,0,0,9.4,-6.7,29,4.6,0.5
0,0,0,0,0,5,-6.1,42,4.6,0.5
908,174,7,9900,1200,10,-5,33,1.5,0.5
1415,630,31,49500,6300,8.9,-5,35,4.1,0.5
1415,810,43,73300,8300,12.8,-5.6,26,4.6,0.5
1415,787,64,75100,9800,12.8,-6.7,23,5.7,0.5
1415,894,60,86200,9800,15,-6.7,20,5.1,0.5
1415,832,69,81100,10600,14.4,-7.2,20,4.1,0.5
1415,790,68,75600,10100,12.8,-6.7,23,3.1,0.5
1415,526,68,47700,9500,10,-3.9,36,2.6,0.5
1415,438,40,33700,6500,8.3,-4.4,39,2.1,0.5
1097,126,17,5000,2400,5.6,-3.3,51,2.6,0.5
0,0,0,0,0,5.6,-9.4,30,2.6,0.5
0,0,0,0,0,3.9,-10,32,4.1,0.5
0,0,0,0,0,3.3,-9.4,35,4.1,0.5
0,0,0,0,0,1.7,-8.9,41,4.6,0.6
0,0,0,0,0,0,-8.9,47,2.1,0.6
0,0,0,0,0,0.6,-10,41,1.5,0.6
0,0,0,0,0,0,-10.6,40,3.1,0.6
0,0,0,0,0,0,-11.7,37,3.6,0.6
0,0,0,0,0,1.1,-13.3,29,3.6,0.6
0,0,0,0,0,0.6,-14.4,27,2.6,0.6
0,0,0,0,0,0,-14.4,29,3.6,0.6
0,0,0,0,0,-0.6,-13.3,33,1.5,0.6
0,0,0,0,0,0,-13.9,30,3.1,0.6
0,0,0,0,0,-0.6,-12.8,35,4.1,0.6
908,39,8,1400,1100,-0.6,-13.3,33,5.2,0.5
1415,418,50,30200,7300,-0.6,-11.7,38,4.1,0.5
1415,510,107,45500,13500,0,-7.8,52,3.6,0.5
1415,859,58,81500,9600,0,-7.8,52,1.5,0.5
1415,894,64,86200,10100,1.1,-8.9,43,3.6,0.5
1415,896,64,86500,10100,1.7,-7.8,46,7.7,0.5
1415,868,59,82600,9700,1.1,-7.8,48,6.7,0.5
1415,796,50,72800,8800,1.7,-8.3,44,8.2,0.5
1415,629,37,49900,6700,0.6,-7.8,49,7.2,0.5
1120,211,13,11500,2000,-0.6,-7.8,54,8.2,0.5
0,0,0,0,0,-1.7,-7.2,63,5.2,0.5
0,0,0,0,0,-3.3,-7.8,68,4.1,0.5
0,0,0,0,0,-4.4,-7.8,75,5.2,0.4
0,0,0,0,0,-6.1,-7.8,86,1.5,0.4
0,0,0,0,0,-7.8,-8.9,91,2.6,0.4
0,0,0,0,0,-7.8,-10,82,2.1,0.4
0,0,0,0,0,-8.9,-10.6,86,3.1,0.4
0,0,0,0,0,-8.9,-10.6,86,4.1,0.4
0,0,0,0,0,-8.3,-10,86,2.6,0.4
0,0,0,0,0,-10.6,-12.2,87,3.6,0.4
0,0,0,0,0,-12.2,-13.3,91,1.5,0.4
0,0,0,0,0,-13.9,-14.4,96,0,0.4
0,0,0,0,0,-12.8,-14.4,86,3.1,0.4
0,0,0,0,0,-12.8,-14.4,86,2.6,0.4
908,0,5,0,600,-2.8,-12.8,42,3.6,0.4
1415,0,38,0,4400,-0.6,-13.3,33,4.1,0.4
1415,0,69,0,8100,1.1,-15,25,1.5,0.4
