1415,187,157,17700,17800,16.7,-11.7,12,4.6
1415,461,125,32700,14200,15,-10.6,14,4.6
743,82,1,4600,400,12.8,-8.3,20,3.1
0,0,0,0,0,10,-8.9,23,1.5
0,0,0,0,0,8.9,-8.3,26,2.1
0,0,0,0,0,6.1,-8.3,32,1.5
0,0,0,0,0,6.1,-8.3,32,2.1
0,0,0,0,0,4.4,-8.3,36,1.5
0,0,0,0,0,2.8,-8.3,40,3.1
0,0,0,0,0,1.7,-8.3,44,2.6
0,0,0,0,0,2.2,-9.4,38,4.1
0,0,0,0,0,2.2,-8.3,42,4.1
0,0,0,0,0,2.2,-8.3,42,2.6
0,0,0,0,0,1.7,-8.3,44,0
0,0,0,0,0,0.6,-7.8,49,0
0,0,0,0,0,0,-8.3,49,4.6
790,123,1,7000,500,1.1,-7.8,48,2.1
1415,529,38,41200,6300,4.4,-7.8,38,4.6
1415,608,84,56000,11200,8.3,-7.8,29,0
1415,502,177,49800,19700,11.7,-7.8,23,0
1415,844,130,84200,16200,13.9,-7.8,20,2.1
1415,831,115,82100,14200,16.7,-9.4,14,2.1
1415,953,57,93800,9600,18.3,-10,12,1.5
1415,938,59,90900,9800,18.9,-10,12,2.6
1415,639,91,58500,12000,19.4,-8.3,13,4.1
1415,564,99,40700,12600,17.2,-9.4,14,1.5
766,106,1,6000,400,15,-7.8,18,1.5
0,0,0,0,0,12.2,-7.8,22,1.5
0,0,0,0,0,11.1,-8.3,23,0
0,0,0,0,0,7.2,-8.3,30,1.5
0,0,0,0,0,7.2,-7.8,31,1.5
0,0,0,0,0,6.1,-7.8,33,2.1
0,0,0,0,0,3.9,-7.2,41,0
0,0,0,0,0,5.6,-7.2,37,3.6
0,0,0,0,0,3.9,-8.3,37,2.6
0,0,0,0,0,4.4,-7.2,40,4.1
0,0,0,0,0,3.9,-7.2,41,2.6
0,0,0,0,0,2.8,-7.2,44,4.1
0,0,0,0,0,3.9,-6.7,43,3.1
0,0,0,0,0,4.4,-6.7,41,0
790,58,1,3300,300,3.3,-6.7,45,3.1
1415,564,45,42500,7600,7.2,-6.7,34,3.6
1415,816,48,75700,8700,10.6,-6.1,29,1.5
1415,916,54,88900,9300,14.4,-6.1,22,0
1415,927,65,91200,10200,17.8,-5,20,1.5
1415,770,136,77200,16600,20,-4.4,18,1.5
1415,928,88,91100,12100,21.7,-5,15,2.6
1415,882,83,85900,11600,21.7,-4.4,16,3.6
1415,671,85,61800,11600,22.2,-3.9,16,4.1
1415,532,99,38700,12500,21.1,-3.9,18,3.6
790,106,1,6100,400,18.3,-3.3,22,3.6
0,0,0,0,0,16.1,-3.3,25,1.5
0,0,0,0,0,12.2,-3.9,31,1.5
0,0,0,0,0,11.1,-3.9,33,3.1
0,0,0,0,0,10,-3.3,38,3.1
0,0,0,0,0,9.4,-2.8,41,2.6
0,0,0,0,0,6.7,-3.3,47,1.5
0,0,0,0,0,6.7,-3.3,47,3.1
0,0,0,0,0,8.3,-2.8,44,4.1
0,0,0,0,0,6.1,-2.8,51,1.5
0,0,0,0,0,5.6,-2.8,53,2.6
0,0,0,0,0,4.4,-3.9,53,1.5
0,0,0,0,0,7.2,-3.3,46,5.2
0,0,0,0,0,7.2,-3.3,46,2.6
790,123,1,7000,500,6.7,-2.8,49,3.1
1415,604,30,48500,6100,11.1,-2.2,39,0
1415,810,49,75100,8700,15.6,-1.1,31,0
1415,870,70,84300,10500,22.2,-1.1,21,6.7
1415,861,77,84600,10900,23.9,-1.1,19,5.2
1415,903,76,89100,11000,25,-1.7,17,3.1
1415,964,59,95000,9800,26.1,-3.3,14,2.1
1415,819,103,80500,13600,27.2,-4.4,12,1.5
1415,869,54,80700,9400,27.2,-3.9,12,3.1
1415,729,72,53500,10900,26.7,-3.3,13,2.6
813,153,1,8800,600,22.2,-1.1,21,3.1
0,0,0,0,0,20,-1.1,24,3.1
0,0,0,0,0,16.1,-0.6,32,3.1
0,0,0,0,0,13.3,-0.6,38,3.6
0,0,0,0,0,11.7,-1.1,41,3.1
0,0,0,0,0,10.6,-1.1,44,5.2
0,0,0,0,0,10.6,-1.1,44,4.1
0,0,0,0,0,10.6,-2.2,40,4.1
0,0,0,0,0,10,-3.3,38,5.2
0,0,0,0,0,10.6,-3.9,35,5.7
0,0,0,0,0,10,-3.9,36,2.6
0,0,0,0,0,9.4,-3.9,37,4.1
0,0,0,0,0,8.3,-3.9,40,3.6
0,0,0,0,0,9.4,-3.9,37,2.6
790,17,1,900,200,8.9,-3.9,39,2.6
1415,130,72,9900,8600,12.2,-3.9,31,4.1
1415,445,126,41300,14900,17.2,-3.9,22,3.1
1415,438,179,43500,19700,20,-3.9,19,3.1
1415,535,189,54400,21300,22.2,-5,15,3.6
1415,752,156,75000,18300,23.3,-6.1,13,4.6
1415,427,240,45000,26100,23.9,-5.6,13,3.1
1415,793,148,76600,17500,23.9,-5.6,13,6.7
1415,106,139,10200,15700,23.3,-6.7,12,3.1
1415,409,128,30100,15100,22.8,-6.1,13,3.1
